"Category","Question","Answer"
"Admissions and Enrollment","How do I enroll my child at the school?","You can enroll your child by visiting our school's administration office or through our online enrollment form available on the school's website."
"Admissions and Enrollment","What documents are required for enrollment?","The necessary documents include a birth certificate, proof of residence, previous school records, and vaccination records."
"School Hours and Calendar","What are the school hours?","Our school operates from 8:00 AM to 3:00 PM, Monday through Friday."
"School Hours and Calendar","When is the school closed for holidays?","The school observes all national holidays. Additionally, please refer to the school calendar on our website for details on school-specific holidays and breaks."
"Class Schedules","How can I find my child’s class schedule?","Class schedules are available on the school portal. Log in with your child’s student ID to access their schedule."
"Examination and Grading Procedures","How are grades determined?","Grades are based on a combination of classroom participation, homework, quizzes, and exams. For more detailed information, please refer to the grading policy outlined in the student handbook."
"School Facilities","Is there a library on campus?","Yes, we have a well-equipped library open from 8:30 AM to 4:30 PM on school days."
"Extracurricular Activities","What extracurricular activities are available?","We offer a variety of extracurricular activities including sports teams, clubs, and arts programs. A full list of activities is available on our school’s website."
"Health and Safety Protocols","What COVID-19 safety measures are in place?","The school follows all government health guidelines, including mask mandates, social distancing, and regular sanitization of facilities."
"Contact Information and Directions","How can I contact the school office?","You can reach the school office by phone at (123) 456-7890 or email at contact@school.edu."
